  27/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  27/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  28/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  28/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  29/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  29/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  30/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  30/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  31/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
